volume,issue,article_number,title,authors,category,summary_ollama,summary_haiku
3,3,4,The effect of a script and a structured interface in grounding discussions,Judith Schoonenboom,c,,"This study examined how collaboration scripts and structured interfaces support grounding discussions among international students working remotely. Using a three-condition experiment (unscripted, script-only, script+interface), 42 students performed two grounding discussions structured into input, discussion, and consensus phases. Results showed scripts increased knowledge input quantity and discussion of differences, while structured interfaces further enhanced input length and adherence to prescribed activity sequences. However, no significant effects emerged for summary quality or learning outcomes."
3,3,5,Supporting students’ participation in authentic proof activities in computer supported collaborative learning (CSCL) environments Diler Öner,Diler Oner,a,,"This paper proposes integrating dynamic geometry software with knowledge-building pedagogy in CSCL environments to support high school students' mathematical proof activities. The author argues that proof instruction should incorporate both empirical exploration and deductive reasoning, reflecting authentic mathematical practice. The study recommends software modifications, particularly adding shared dynamic geometry components and problematizing mechanisms, to help students distinguish between empirical conviction and formal proof while engaging in collaborative knowledge construction."
3,3,6,Book review: Exploring thinking as communicating in CSCL,Gerry Stahl,e,,"Sfard's theory conceptualizes mathematical objects as products of discursive processes rather than mental acquisitions, arguing that deep understanding emerges through participation in social routines of mathematical discourse. The review examines how students collaboratively construct mathematical meaning through communication, proposing that extending this participationist framework to computer-mediated group interaction could advance CSCL research while requiring integration with broader social and cultural dimensions."
3,4,0,CSCL practices,Gerry Stahl & Friedrich Hesse,e,,"This editorial examines computer-supported collaborative learning (CSCL) practices across educational contexts. It synthesizes research on how collaborative learning emerges through technology-mediated interactions at individual, group, and community levels. Key findings address student self-efficacy in science, game-based math learning outcomes, and automated analysis methods for collaborative discourse, emphasizing that effective CSCL implementation requires attention to surrounding pedagogical and social practices."
3,4,1,Leveraging online communities in fostering adaptive schools,David Hung & Kenneth Y. T. Lim & Der-Thanq Victor Chen & Thiam Seng Koh,b,,"Online communities function as ""para-communities"" that should remain distinct from formal schools rather than being integrated into them. Through conceptual analysis, the authors argue that schools and online communities serve fundamentally different goals: schools emphasize intentional learning and efficiency, while online communities prioritize intrinsic motivation and innovation. They propose that adaptive schools leverage external para-communities through internal Communities of Interest, enabling complementary relationships that cultivate social capital and innovation without compromising organizational efficiency."
3,4,2,The right tool for the wrong task? Match and mismatch between first and second stimulus in double stimulation,Andreas Lund & Ingvill Rasmussen,c,,"This study examines how Norwegian high school students learning English as a foreign language approach open-ended collaborative tasks using wiki technology. Using Vygotsky's double stimulation framework, researchers analyzed the relationship between task design (first stimulus) and available tools (second stimulus) in collaborative knowledge construction. Findings reveal that learners struggled to maintain awareness across individual, group, and whole-class levels. When the wiki application failed, students sustained collective working practices through alternative tools like PowerPoint and MSN chat, demonstrating that pedagogical and technological designs must be better aligned to support collaborative knowledge production."
3,4,3,Exploring embedded guidance and self-efficacy in educational multi-user virtual environments,Brian C. Nelson & Diane Jass Ketelhut,b,,"This exploratory study examined how student self-efficacy in scientific inquiry affects guidance system use and learning outcomes in River City, an educational multi-user virtual environment. Using a sample of 96 middle school students, researchers found that students with low self-efficacy viewed significantly fewer guidance messages than higher-efficacy peers. While embedded reflective guidance improved learning across all efficacy levels, it only partially mitigated low self-efficacy's negative impact on performance. Notably, low-efficacy students with heavy guidance use achieved comparable outcomes to high-efficacy students without guidance."
3,4,4,Alternative goal structures for computer game-based learning,Fengfeng Ke,b,,"This field study examined how cooperative, competitive, and individualistic goal structures in classroom computer math games affect fifth-graders' math performance and attitudes. Using a pretest-posttest design with 160 students across four conditions, results showed all gaming groups outperformed controls on math tests, but cooperative goal structures proved most effective for promoting positive math attitudes. Socioeconomic status significantly moderated outcomes, with disadvantaged students benefiting most from cooperation."
3,4,5,Automatic coding of dialogue acts in collaboration protocols,Gijsbert Erkens & Jeroen Janssen,c,,"Researchers developed an automatic coding system to identify dialogue acts (communicative functions) in online collaboration protocols using discourse markers. Testing on 1,000 messages showed 79% agreement with manual coding (Cohen's kappa=0.75). Validity analyses confirmed the system reliably distinguished gender differences in communication patterns and detected experimental intervention effects, supporting its utility for analyzing collaborative learning processes."
4,1,0,Yes we can!,Gerry Stahl,e,,"Computer-Supported Collaborative Learning (CSCL) offers transformative potential for education by moving beyond traditional knowledge transfer to engage students in collaborative knowledge construction with peers. This editorial argues that CSCL systems, when fully developed, can provide effective learning environments supporting cross-border collaboration while preparing students for an increasingly global, interdependent world."
4,1,1,The pedagogical challenges to collaborative technologies,Diana Laurillard,b,,"# Summary Collaborative technologies rarely address formal learning needs despite their educational potential. This paper proposes the Conversational Framework—a pedagogical model integrating instructionism, constructionism, socio-cultural, and collaborative learning theories—to establish user requirements for technology design. The framework emphasizes iterative interactions between teachers, learners, and peers across discursive and experiential levels, enabling educators to challenge technologies to deliver genuinely enhanced learning rather than merely digitizing conventional methods."
4,1,2,Productive failure in CSCL groups,Manu Kapur & Charles K. Kinzer,c,"This study investigated the productive failure hypothesis, which suggests that students who experience failure while working on ill-structured problems in a collaborative learning environment may outperform their peers who worked on well-structured problems. The researchers randomly assigned 177 11th-grade science students to either an ill-structured problem-solving condition or a well-structured problem-solving condition and found that the students in the ill-structured condition performed significantly better on both the well-structured and ill-structured posttests, demonstrating confirmatory evidence for the productive failure hypothesis.","Groups solving unstructured physics problems without support struggled initially but subsequently outperformed peers who solved well-structured problems on individual transfer tasks. This confirmatory study with 177 eleventh-grade students demonstrates productive failure: complex, divergent collaborative processes seemingly leading to failure paradoxically enhanced later problem-solving performance, suggesting that the nature of collaborative interaction rather than prior knowledge or solution quality drives learning gains."
4,1,3,A connective ethnography of peer knowledge sharing and diffusion in a tween virtual world,Deborah A. Fields & Yasmin B. Kafai,c,,"Researchers used connective ethnography to trace how tweens ages 9-12 learned and shared an insider gaming practice—teleporting—across an after-school club, classrooms, and the virtual world Whyville.net. Integrating video, field notes, logfiles, and interviews, they found that most participants traversed multiple physical and virtual spaces to learn this practice, employing observation, questioning, and peer coaching. Knowledge diffusion occurred through informal, unstructured interactions rather than explicit instruction, demonstrating how virtual spaces expand peer-to-peer learning opportunities beyond traditional classroom boundaries."
4,1,4,Learning to collaborate while being scripted or by observing a model,Nikol Rummel & Hans Spada & Sabine Hauser,c,,"Observing a worked-out collaboration model with elaboration support proved most effective for improving computer-mediated collaborative problem-solving among medical and psychology students. Using an experimental design with five conditions, researchers found that model-based learning outperformed scripted collaboration on process quality and knowledge measures. Results challenge the prevailing positive view of collaboration scripts in CSCL research, suggesting adaptive scripting approaches instead."
4,1,5,The power of natural frameworks: Technology and the question of agency in CSCL settings,Annika Lantz-Andersson,c,,"# Summary This study analyzes how secondary school students frame computer-supported collaborative learning situations using video analysis of mathematics problem-solving with educational software. Results reveal students shift between social frameworks where they assume responsibility for understanding tasks and natural frameworks where they attribute difficulties to technology design. When receiving incorrect feedback without explanation, students often cease engaging with mathematical reasoning and instead attempt procedural workarounds, potentially avoiding accountability for learning while preserving self-esteem."
4,2,0,Practice perspectives in CSCL,Gerry Stahl & Friedrich Hesse,e,,"This editorial argues that CSCL research should adopt practice perspectives to understand how collaborative learning emerges at individual, group, and community levels. Rather than studying interaction through controlled variables and statistical regularities, practice perspectives focus on how people actually interact, examining embodied and materially mediated human activity. The issue's articles demonstrate this approach by analyzing group coordination practices, technology affordances relative to user interaction potential, genre adaptation in virtual environments, and metaskills required for knowledge-creation practices."
4,2,1,The joint organization of interaction within a multimodal CSCL medium,Murat Perit Çakır & Alan Zemel & Gerry Stahl,c,,"This ethnomethodological case study examines how three students organize collaborative mathematical problem-solving in a synchronous dual-interaction online environment combining text chat and shared whiteboard. Through sequential interaction analysis, the authors reveal that students co-construct shared mathematical understanding by coordinating visual, narrative, and symbolic representations across media. The indexical field formed by referential links between chat messages and whiteboard drawings establishes common ground, enabling group cognition and deep mathematical learning through multiple realizations of mathematical objects."
4,2,2,Affordances revisited: Articulating a Merleau-Pontian view,Nina Bonderup Dohn,b,,"This article develops a Merleau-Pontian account of affordances for CSCL, arguing that existing interpretations within the field contain unresolved ontological and epistemological tensions. The author proposes that affordances are dynamic, relational, and skill-relative properties existing independently of perception but relative to agents' body-schematic interaction potential. This framework shifts design and empirical research focus toward background structuring and learners' developing capabilities rather than mental models."
4,2,3,Genre and CSCL: The form and rhetoric of the online posting,Norm Friesen,c,,"This study applies genre analysis to online discussion postings in CSCL contexts, hypothesizing that educational postings share rhetorical characteristics with their epistolary precursor, the letter. Through content analysis of 136 postings, the author identifies 240 rhetorical markers reflecting epistolary dynamics, including salutations, present-tense references, and temporal references. Findings suggest that cultural and historical factors embedded in familiar genres significantly shape how students engage in online collaborative learning, beyond technological affordances alone."
4,2,4,Exploring metaskills of knowledge-creating inquiry in higher education,Hanni Muukkonen & Minna Lakkala,c,,"This study investigates metaskills required for knowledge-creating inquiry in higher education through an 11-week undergraduate psychology course using progressive inquiry and web-based collaboration. Qualitative analysis of database discourse and student self-reflections revealed three student groups exhibited varying engagement levels in collaborative object-oriented inquiry. Group C demonstrated superior skills in monitoring individual, collective, and object-oriented aspects of inquiry, while Groups A and B struggled with shared knowledge advancement. Findings suggest metaskills for collaborative knowledge creation develop through sustained socialization into inquiry practices emphasizing iterative development of shared epistemic objects."
4,2,5,A knowledge-practice perspective on technology-mediated learning,Kai Hakkarainen,b,,"Technology enhances learning through transformed social practices, not merely through tool implementation. While knowledge-building theory emphasizes idea advancement, this perspective argues that genuine educational transformation requires cultivating epistemic practices—socially embedded ways of working with knowledge—that channel intellectual efforts toward collective knowledge advancement. Material artifacts and social practices constitute dialectical unity in knowledge creation."
4,3,0,Classical dialogs in CSCL,Gerry Stahl & Friedrich Hesse,e,,"This editorial reviews the International Journal of Computer-Supported Collaborative Learning's progress and synthesizes key research themes from the 2009 CSCL conference. It examines diverse analytical methodologies for studying collaborative learning processes, including event-centered approaches, knowledge creation discourse analysis, and interaction analysis in dual-interaction environments. The authors highlight fundamental tensions between individual and community-level learning, emphasizing how CSCL research must integrate multiple theoretical perspectives and analytical approaches to understand complex collaborative learning phenomena."
4,3,1,Time is precious: Variable- and event-centred approaches to process analysis in CSCL research,Peter Reimann,c,,"CSCL research often neglects temporal dimensions despite studying processes unfolding over weeks or months. Reimann argues that variable-centered variance theory inadequately captures long-term change, proposing event-centered analysis as a complementary approach. Event-based methods enable narrative explanation, accommodate multiple causality types, and facilitate integration of qualitative and quantitative analyses, offering CSCL researchers more appropriate tools for analyzing extended collaborative learning processes."
4,3,2,"Distinguishing knowledge-sharing, knowledge- construction, and knowledge-creation discourses Jan van Aalst","construction, and knowledge-creation discourses Jan van Aalst",c,,"This study distinguishes three discourse modes—knowledge sharing, knowledge construction, and knowledge creation—using a coding scheme applied to secondary students' asynchronous online discussions in Knowledge Forum about SARS and Avian Flu. Analysis of four student groups' discourses revealed one group engaged in knowledge-creation discourse with superior knowledge advancement, one in knowledge-sharing discourse, and two in hybrid modes. Community sense emerged as the primary differentiating factor."
4,3,3,A three-level analysis of collaborative learning in dual-interaction spaces,Jacques Lonchamp,c,,"This article presents a three-level qualitative interaction analysis methodology for dual-interaction spaces—CSCL systems combining shared artifact editing with synchronous communication. The approach analyzes collaborative learning traces at dialog, knowledge, and action levels to identify patterns and inform system customization. Applied to software engineering diagram construction, the method reveals how learners negotiate categorization rules through prototypical examples, enabling evidence-based improvements to learning environment design."
4,3,4,Collaborative corrections with spelling control: Digital resources and peer assistance,Asta Cekaite,b,,"Swedish eighth-graders collaboratively corrected spelling errors using Microsoft Word's spellchecker during English writing tasks. Through conversation analysis of video-recorded sessions, the study identified how diagnostic tools and spelling lists configured different correction practices. Students preferentially used diagnostic feedback for autonomous problem-solving before requesting peer assistance or spelling suggestions, demonstrating that underspecified software instructions created space for creative collaborative engagement and language learning."
4,3,5,Web 2.0: Inherent tensions and evident challenges for education,Nina Bonderup Dohn,f,,"Web 2.0 practices and educational systems embody fundamentally incompatible learning metaphors. While Web 2.0 emphasizes participatory, distributed knowledge construction with internal goals, education prioritizes individual knowledge acquisition for external purposes. This conceptual tension manifests practically in challenges regarding collaboration, evaluation criteria, and material authenticity when Web 2.0 tools are integrated into educational settings."
4,4,0,Paradigms of shared knowledge,Gerry Stahl & Friedrich Hesse,e,,"This article identifies four theoretical paradigms for understanding shared knowledge in computer-supported collaborative learning: sharing individual mental representations, sharing an object, sharing a situation, and sharing a community. The authors argue that researchers' implicit or explicit adoption of these paradigms significantly influences educational intervention design and effectiveness, regardless of whether designers consciously recognize their theoretical assumptions about knowledge sharing."
4,4,1,Wikis to support the “collaborative” part of collaborative learning,Johann Ari Larusson & Richard Alterman,a,,"Wikis provide an effective platform for supporting asynchronous, non-collocated collaborative learning when enhanced with awareness, navigation, and communication components. Two case studies demonstrate that prefabricated wiki structures function as coordinating representations, enabling both tightly coupled team design projects and loosely coupled co-blogging activities to maintain adequate intersubjective spaces for productive student collaboration."
4,4,2,Earth science learning in SMALLab: A design experiment for mixed reality,David Birchfield & Colleen Megowan-Romanowicz,b,,"This design experiment examined how mixed-reality environments support collaborative earth science learning. Researchers implemented SMALLab, a semi-immersive platform enabling colocated students to interact face-to-face within computationally mediated spaces. A 3-day intervention with 72 high school students revealed significantly increased student-to-student exchanges compared to traditional instruction and notable achievement gains on concept assessments, suggesting mixed-reality technology's potential for enhancing K-12 collaborative learning when properly designed."
4,4,3,Contrasting the use of tools for presentation and critique: Some cases from architectural education,Gustav Lymer & Jonas Ivarsson & Oskar Lindwall,c,,"This ethnomethodological video analysis of architectural design reviews examines how presentation technologies shape critique practices. Comparing poster-based, digital slideshow, and hybrid setups across 143 sessions, the study reveals that digital technologies fundamentally transform sequential organization, shared attention, and part-whole relations during discussion and assessment. The findings suggest that presentation tools designed primarily for delivery may inadequately support subsequent critique, highlighting the need for spatially organized interfaces better suited to collaborative design review practices."
4,4,4,An ontology engineering approach to the realization of theory-driven group formation,Seiji Isotani & Akiko Inaba & Mitsuru Ikeda & Riichiro Mizoguchi,a,,"This research presents an ontology-based framework for theory-driven group formation in collaborative learning. Using ontological engineering, the authors formalize learning theory concepts to guide group composition, role assignment, and activity design. A proof-of-concept experiment with four instructors and twenty participants demonstrated that groups formed according to pedagogical theory specifications showed significantly better performance and more meaningful interactions than control groups, suggesting ontologies effectively operationalize learning theories for improved collaborative learning outcomes."
5,1,0,The CSCL field matures,Gerry Stahl & Friedrich Hesse,e,,"Computer-Supported Collaborative Learning (CSCL) has matured as a field, evidenced by the International Journal of CSCL's acceptance into Thomson Reuters' Web of Science indexing. This editorial reflects on the field's institutional growth since 1989, highlighting how current research demonstrates increased theoretical sophistication, methodological rigor, and productive engagement across diverse disciplinary perspectives within CSCL scholarship."
5,1,1,"A framework for conceptualizing, representing, and analyzing distributed interaction",Daniel D. Suthers & Nathan Dwyer & Richard Medina & Ravi Vatrapu,c,,"# Summary Suthers and colleagues present an uptake analysis framework for analyzing distributed technology-mediated interaction. The framework uses contingency graphs—abstract transcripts representing events as vertices and relationships between events as edges—to unify interaction data across multiple media and temporal scales. Uptake, defined as participants taking prior events as relevant for ongoing activity, serves as the conceptual foundation. The authors demonstrate the framework's utility through qualitative and quantitative analyses of synchronous and asynchronous collaborative learning data, arguing it enables both microanalysis and scaled statistical analysis while supporting dialogue across diverse CSCL methodologies."
5,1,2,Computer-supported argumentation: A review of the state of the art,Oliver Scheuer & Frank Loll & Niels Pinkwart & Bruce M. McLaren,b,,"Computer-supported argumentation systems have evolved over 15-20 years to support and teach argumentation skills across domains. This literature review examines 50 systems, analyzing argument representations, interaction designs, ontologies, automated analysis techniques, and empirical findings. Key results show that visual representations and structured interaction designs improve argumentative discourse, while macro-level pedagogical scripts enhance learning outcomes. However, conflicting empirical results reveal the need for comprehensive theoretical frameworks and systematic comparative studies."
5,1,3,Exploring whether students’ use of labelling depends upon the type of activity,Eva Mary Bures & Philip C. Abrami & Richard F. Schmid,c,,"This mixed-methods study examined whether graduate students use labeling features less frequently during structured versus unstructured online dialogue. Participants (n=37) engaged in two activities: an unstructured discussion and a HipBone Game with predetermined structure. Results showed significantly reduced label usage during the structured activity, with 62% using labels multiple times unstructured versus 46% structured. Students preferred the structured dialogue but reported mixed satisfaction with labeling. Findings suggest structured activities provide alternative scaffolding, potentially rendering labeling features redundant."
5,1,4,Toward a dialectic relation between the results in CSCL: Three critical methodological aspects of content analysis schemes,Marc Clarà & Teresa Mauri,c,,"This paper proposes a framework of indicators based on three critical methodological aspects—units of analysis, relations between theoretical levels, and dimensions of analysis—to facilitate reciprocal positioning of content analysis results in CSCL research. Rather than seeking theoretical integration across diverse approaches, the authors argue for dialectical relations that reveal tensions and enable mutual theoretical development within the field's inherent methodological diversity."
5,2,0,A prism of CSCL research,Gerry Stahl & Friedrich Hesse,e,,"Computer-Supported Collaborative Learning integrates diverse disciplines, technologies, and methodologies to study collaborative learning with digital tools. This issue presents five empirical studies examining different CSCL applications—from complex system simulations to scripted collaboration platforms—using varied analytical approaches including classroom assessments, discourse analysis, and quantitative-qualitative combinations. The research demonstrates that effective CSCL design requires attention to pedagogical aims and collaborative processes rather than relying on single technological solutions."
5,2,1,Mr. Vetro: A Collective Simulation for teaching health science,Andri Ioannidou & Alexander Repenning & David Webb & Diane Keyser & Lisa Luhn & Christof Daetwyler,b,,"Mr. Vetro is a collective simulation where students collaboratively control physiological organs on networked computers to learn about system interactions. Formal evaluation across 400 high school students demonstrated significant learning gains in physiological knowledge and vocabulary, increased inquiry-based teaching practices, and positive real-life health behavior changes, though attitudes toward science remained relatively stable."
5,2,2,Animation and grammar in science education: Learners’ construal of animated educational software Göran Karlsson,Goran Karlsson,b,,"This case study examines how two upper-secondary students collaboratively interpret animated biochemical processes through written reports. Using interaction analysis of video-recorded sessions, the research reveals that students' grammatically constructed narratives prioritize perceptually salient animated features as active subjects, deriving noun phrases from animation and educational text while substituting verbs with everyday language. Without sufficient subject-matter knowledge, students cannot evaluate adequacy and rely solely on grammatical correctness, resulting in non-scientific explanations. The findings emphasize that technology-supported science education requires consideration of both cultural and semiotic processes."
5,2,3,Scripting a distance-learning university course: Do students benefit from net-based scripted collaboration?,Joerg M. Haake & Hans-Rüdiger Pfister,b,,"This experimental field study examined whether scripted collaboration benefits net-based learning in a semester-long university operating systems course. Forty-two student groups performed brainstorming, clustering, and essay-writing tasks either with system-enforced scripts or non-scripted instructions. Results showed no general advantage of scripting for knowledge acquisition or task performance. However, principal component analysis revealed scripting slightly improved essay coherence and comprehensibility, suggesting benefits for complex tasks requiring deeper understanding."
5,2,4,Distributed leadership in online groups,Julia Gressick & Sharon J. Derry,c,,"In an asynchronous online learning environment, pre-service teachers working in small groups demonstrated highly distributed leadership across all members, with different leadership forms showing varying distribution patterns. While successful group performance was not directly predicted by overall leadership distribution patterns, qualitative analysis revealed that effective groups developed internal organizational structures and positive interpersonal dynamics that facilitated both peer and instructor engagement, suggesting emergent distributed leadership offers a viable alternative to scripted collaborative roles."
5,2,5,Promoting metacognitive skills through peer scaffolding in a CSCL environment,Manoli Pifarre & Ruth Cobos,c,,"A longitudinal case study of 18 university students using the KnowCat knowledge-building system over two semesters examined how peer scaffolding develops metacognitive skills in computer-supported collaborative learning. Content analysis of student annotations revealed statistically significant increases in metacognitive processes, particularly in monitoring and clarity-seeking behaviors. Results suggest pedagogical use of CSCL environments with structured peer feedback effectively enhances students' self-regulation and collaborative problem-solving capabilities."
5,3,0,Guiding group cognition in CSCL,Gerry Stahl,e,,"# Summary CSCL research aims to understand how multiple individuals coalesce into coherent group cognition through collaborative learning. This article examines theoretical frameworks and empirical studies investigating influences on group interaction, including scaffolding strategies, technology support, knowledge sharing mechanisms, and interpersonal trust. The research demonstrates that effective collaboration requires careful attention to sequential interaction, contextual factors, and internal preconditions for productive teamwork."
5,3,1,Online moderation of synchronous e-argumentation,Christa S. C. Asterhan & Baruch B. Schwarz,c,,"This exploratory study examines effective online moderation of synchronous small-group argumentation in co-located classrooms. Through student questionnaires and protocol analyses of moderated discussions using Digalo software, researchers found that generic scaffolding prompts—effective in face-to-face settings—were ineffective in synchronous e-discussions. Instead, content-specific, involved moderation styles that disguised scaffolding as peer participation proved more effective and appreciated by students."
5,3,2,Scaffolding problem-based learning with CSCL tools,Jingyan Lu & Susanne P. Lajoie & Jeffrey Wiseman,b,,"Interactive whiteboards fundamentally altered teacher scaffolding in medical problem-based learning. This case study compared traditional whiteboard versus interactive whiteboard conditions during deteriorating patient simulations with medical students. Results revealed that interactive whiteboards enabled teachers to visualize all student groups' work simultaneously, allowing them to increase problem complexity and reduce task-structuring guidance. Technology expanded scaffolding choices by externalizing collaborative problem-solving processes."
5,3,3,How digital concept maps about the collaborators’ knowledge and information influence computer-supported collaborative problem solving,Tanja Engelmann & Friedrich W. Hesse,b,,"Digital concept maps displaying collaborators' knowledge structures and information resources enhance computer-supported collaborative problem-solving. This experimental study compared 40 triads—20 with access to partners' concept maps and 20 without—on problem-solving tasks. Results demonstrated that groups with map access acquired greater knowledge-and-information awareness, focused on problem-relevant information, and solved problems faster and more accurately than control groups."
5,3,4,S-COL: A Copernican turn for the development of flexibly reusable collaboration scripts,Christof Wecker & Karsten Stegmann & Florian Bernstein & Michael J. Huber & Georg Kalus & Ingo Kollar & Sabine Rathmayer & Frank Fischer,a,,"S-COL is a browser-based tool enabling flexible reuse of collaboration scripts across diverse web-based learning platforms. Rather than embedding scripts within specific platforms, S-COL implements scripts in the browser and triggers them by recognizing functionally equivalent page types. An empirical study demonstrated that a collaboration script for online search implemented in S-COL effectively increased students' engagement in early-stage search activities, supporting the tool's feasibility for sustainable script development and reuse."
5,3,5,Revealing preconditions for trustful collaboration in CSCL,Anne Gerdes,c,,"This philosophical analysis examines preconditions for trust in virtual learning environments. Through phenomenological inquiry and case analysis, the author argues that self-surrender—fundamental to human communication—is undermined by surveillance and impression management in online learning systems. Drawing on open-source community models, the study concludes that volunteerism, self-articulation of goals, and inquiry-based teaching methods can foster mastery-oriented learning and authentic collaborative engagement."
5,4,0,Beyond folk theories of CSCL,Gerry Stahl & Friedrich Hesse,e,,"Stahl and Hesse critique three approaches to CSCL research, arguing that the most productive approach develops theories specifically tailored to collaborative learning's unique characteristics. They contend that CSCL requires elaborated theories addressing multiple interpenetrating levels—individual, group, classroom—and technological mediation, moving beyond folk theories and borrowed frameworks to capture phenomena distinctive to computer-supported contexts."
5,4,1,Can the interactive whiteboard support young children’s collaborative communication and thinking in classroom science activities?,Ruth Kershner & Neil Mercer & Paul Warwick & Judith Kleine Staarman,b,,"Interactive whiteboards can support young children's collaborative communication and thinking in primary science, but effectiveness depends on multiple interacting factors. Through observational analysis of twelve classrooms, researchers found the IWB facilitates productive dialogue when combined with teacher scaffolding, established ""talk rules,"" and appropriate classroom participation structures. However, the technology alone is not pedagogically transformative; success requires careful integration with other classroom resources and attention to both social and cognitive dimensions of collaborative learning."
5,4,2,Sharing and cultivating tacit knowledge in an online learning environment,Meng Yew Tee & Dennis Karney,c,,"Online graduate business students cultivated tacit knowledge through a strategic management course using naturalistic inquiry methodology. The course combined readings, threaded discussions, and a simulation game, creating a ""ba"" (shared context) that encouraged socialization, externalization, combination, and internalization processes aligned with Nonaka's knowledge creation model. Students reported learning tacit dimensions impossible to acquire from textbooks alone."
5,4,3,Using activity theory to understand intergenerational play: The case of Family Quest,Sinem Siyahhan & Sasha A. Barab & Michael P. Downton,c,,"# Summary This study examined intergenerational play between parents and children (ages 9-13) using Quest Atlantis, an educational 3D game, through activity theory analysis. Five-week observations of seven parent-child dyads revealed that successful collaborative gaming required shared intentions and expertise exchange. While outcomes varied across dyads, the research demonstrated that educational video games can facilitate meaningful family bonding and learning, particularly when designed to encourage parents and children to leverage complementary skills around personally relevant narratives."
5,4,4,The collaborative construction of chronotopes during computer-supported collaborative professional tasks,Maria Beatrice Ligorio & Giuseppe Ritella,c,,"# Summary This study analyzes how teachers collaboratively construct spatial and temporal frameworks during computer-supported professional planning using qualitative video analysis of six sessions. The researchers identified three distinct chronotopes—Adagio, Andante, and Allegretto—representing different interaction tempos shaped by tool features, activity complexity, and participant expertise. Results demonstrate that technology mediates collaboration by creating multiple overlapping spaces where different types of coordination emerge, revealing how space-time co-construction fundamentally influences group professional work."
6,1,0,CSCL in Asia,Gerry Stahl & Friedrich Hesse,e,,"Asian countries are achieving superior educational outcomes through forward-looking policies emphasizing collaborative knowledge building and twenty-first-century skills rather than rote learning. This editorial examines CSCL research and implementation across Asia, highlighting Singapore's multi-level reform approach integrating micro, meso, and macro educational scales, and presenting empirical studies on productive failure, peer review, and inquiry-based learning from Asian contexts."
6,1,1,"The Singapore experience: Synergy of national policy, classroom practice and design research",Chee-Kit Looi & Hyo-Jeong So & Yancy Toh & Wenli Chen,f,,"Singapore's systemic approach to CSCL integration demonstrates how design research methodology bridges macro-level policy, meso-level school implementation, and micro-level classroom interactions. Through the GroupScribbles project across multiple schools, researchers co-designed collaborative learning activities with teachers, developed design principles for rapid collaborative knowledge improvement, and achieved sustainable adoption. This multi-level alignment of policy, practice, and research provides a model for scaling CSCL innovations while addressing real classroom constraints."
6,1,2,Temporality matters: Advancing a method for analyzing problem-solving processes in a computer-supported collaborative environment,Manu Kapur,c,,"This study advances Lag-sequential Analysis (LsA) as a quantitative method for examining temporal patterns in computer-supported collaborative learning groups. Applied to synchronous online problem-solving discussions, LsA revealed significant sequential interaction patterns invisible to traditional ""coding and counting"" approaches. Critically, temporal transition patterns between process categories emerged as the strongest predictor of group performance, demonstrating that analyzing the order and sequence of collaborative interactions—not merely their frequency—is essential for understanding collaborative learning processes."
6,1,3,Learning the physics of electricity: A qualitative analysis of collaborative processes involved in productive failure,Suneeta A. Pathak & Beaumie Kim & Michael J. Jacobson & Baohui Zhang,c,,"This qualitative study examines collaborative problem-solving dynamics in physics education using computer-supported learning. Two student dyads—one experiencing productive failure through initial low-structured activities followed by high-structured ones, and another receiving only high-structured activities—solved electricity problems using NetLogo models. Analysis of video, screen captures, and solutions revealed that initial struggle enabled deeper engagement with the model and reflective reasoning, while over-scripted activities hindered meaningful collaboration and conceptual understanding."
6,1,4,Exploring e-learners' perceptions of net-based peer-reviewed English writing,Zi-gang Ge,c,,"This study examined asynchronous, blind peer review for improving Chinese adult e-learners' English writing. Thirty-six students divided into three ability groups participated in a year-long experiment with rotating cross-group peer reviews mediated by the instructor. Results showed all groups improved, with lower-ability students making greater progress than higher-ability students. However, high-ability students became discouraged when paired with lower-ability peers for extended periods, suggesting flexible grouping strategies may be necessary."
6,1,5,The logic of wikis: The possibilities of the Web 2.0 classroom,Michael Glassman & Min Ju Kang,b,,"Web 2.0 tools like wikis and blogs can enable Dewey's vision of democratic education by supporting abductive reasoning—the logic of hypothesis generation essential for creative problem-solving. Unlike traditional deductive approaches emphasizing certainty, abduction requires simultaneously maintaining multiple competing premises, a capability previously impossible in classrooms but now feasible through hypertext-based technologies that create scale-free networks of interconnected information nodes."
6,1,6,Perspective taking and synchronous argumentation for learning the day/night cycle,Baruch B. Schwarz & Yaron Schur & Haim Pensso & Naama Tayer,c,,"Combining perspective-taking through pictures and synchronous computer-supported argumentation promotes conceptual learning of the day/night cycle in Grade 8 students. Using the Digalo tool and design-research methodology with pre-post testing, the study found significant improvements in mental models, elaboration, and knowledge integration. However, teacher mediation during small-group discussions did not enhance learning outcomes, suggesting that meticulous task design and peer argumentation were primary drivers of conceptual change."
6,2,0,Let a hundred flowers bloom; let a hundred schools of thought contend,Gerry Stahl & Friedrich Hesse,e,,"This editorial argues that the CSCL field benefits from diverse theoretical, methodological, and pedagogical approaches rather than convergence on single paradigms. The authors advocate for pluralism in research perspectives, illustrating how multiple schools of thought—from dialogical to information-processing frameworks—advance understanding of collaborative learning. They present diverse studies examining practice, theory, analysis methods, and technology design, demonstrating that CSCL's complexity requires multifaceted inquiry."
